,City,Country,Lat,Lng,Max Temp (F),Cloudiness,Date,Humidity,Wind Speed
0,Hermanus,ZA,-34.4187,19.2345,59.81,22,1666373509,73,10.65
1,Luena,AO,-11.7833,19.9167,74.98,89,1666373529,40,3.33
2,Rikitea,PF,-23.1203,-134.9692,71.26,3,1666373530,72,22.95
3,Savonlinna,FI,61.8699,28.88,30.25,20,1666373530,93,2.3
4,Hobart,AU,-42.8794,147.3294,62.46,100,1666373402,94,5.75
5,Naugachhia,IN,25.4,87.1,73.56,0,1666373530,65,3.33
6,Avarua,CK,-21.2078,-159.775,77.05,75,1666373531,88,16.11
7,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,40,1666373531,73,16.11
8,Bluff,NZ,-46.6,168.3333,41.61,9,1666373531,83,8.46
9,Okhotsk,RU,59.3833,143.3,24.21,96,1666373532,62,14.58
10,Kapaa,US,22.0752,-159.319,77.32,75,1666373532,86,13.8
11,Porto Nacional,BR,-10.7081,-48.4172,102.63,100,1666373532,19,3.76
12,São João da Barra,BR,-21.6403,-41.0511,76.93,64,1666373533,79,25.12
13,Areosa,PT,41.7178,-8.8571,62.17,48,1666373533,90,15.28
14,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,75,1666373534,79,11.5
15,Qaanaaq,GL,77.484,-69.3632,-1.44,0,1666373534,57,9.55
16,Bengkulu,ID,-3.8004,102.2655,75.72,100,1666373534,91,3.71
17,Namatanai,PG,-3.6667,152.4333,78.73,71,1666373535,82,2.39
18,Kaihua,CN,23.3687,104.28,60.31,62,1666373535,96,2.39
19,Ponta Delgada,PT,37.7333,-25.6667,68.72,20,1666373536,60,23.02
20,Parabel',RU,58.6978,81.4825,39.2,95,1666373536,92,10.85
21,Kavieng,PG,-2.5744,150.7967,81.43,84,1666373537,73,5.95
22,Yellowknife,CA,62.456,-114.3525,30.72,75,1666373291,80,10.36
23,Arraial do Cabo,BR,-22.9661,-42.0278,74.07,99,1666373537,87,15.77
24,Lompoc,US,34.6391,-120.4579,63.61,100,1666373537,96,0.0
25,Ushuaia,AR,-54.8,-68.3,49.62,75,1666373293,49,19.57
26,San Andrés,CO,12.5847,-81.7006,87.82,40,1666373538,70,11.5
27,Codrington,AU,-38.2667,141.9667,59.13,100,1666373538,99,3.47
28,Saskylakh,RU,71.9167,114.0833,5.61,71,1666373539,98,4.23
29,Cape Town,ZA,-33.9258,18.4232,64.35,0,1666373525,72,26.46
30,Tura,IN,25.5198,90.2201,68.47,0,1666373540,76,4.9
31,Hithadhoo,MV,-0.6,73.0833,80.82,100,1666373541,79,8.28
32,Sekichō-furumaya,JP,34.85,136.4,59.92,100,1666373541,79,1.45
33,Ribeira Grande,PT,38.5167,-28.7,68.4,75,1666373541,64,20.71
34,Aklavik,CA,68.2191,-135.0107,23.0,100,1666373542,93,2.3
35,Jamestown,US,42.097,-79.2353,60.39,0,1666373101,37,14.97
36,Polovinnoye,RU,54.7914,65.9864,39.18,84,1666373542,90,5.46
37,Nyrob,RU,60.733,56.7202,28.36,54,1666373542,90,8.03
38,Khatanga,RU,71.9667,102.5,3.09,65,1666373543,96,2.35
39,Khon Kaen,TH,16.5,102.0833,71.91,37,1666373543,91,2.64
40,Poum,NC,-20.2333,164.0167,76.1,100,1666373543,74,20.22
41,George Town,MY,5.4112,100.3354,79.95,40,1666373299,93,5.75
42,Taltal,CL,-25.4,-70.4833,62.71,17,1666373544,63,4.97
43,City of San Pedro,PH,14.35,121.0167,81.63,40,1666373544,85,4.61
44,Ponta do Sol,PT,32.6667,-17.1,76.01,98,1666373545,90,4.36
45,Sandwick,GB,60.0,-1.25,51.62,100,1666373545,100,17.27
46,Atuona,PF,-9.8,-139.0333,76.59,97,1666373545,69,16.8
47,Mataura,NZ,-46.1927,168.8643,32.95,5,1666373546,96,2.24
48,Karanganyar,ID,-6.7072,111.0834,77.13,100,1666373546,91,5.21
49,Kericho,KE,-0.3677,35.2831,57.56,100,1666373546,72,4.7
50,Saint-Augustin,CA,51.226,-58.6502,53.31,69,1666373546,53,22.53
51,Busselton,AU,-33.65,115.3333,53.62,69,1666373547,80,6.53
52,Cabo San Lucas,MX,22.8909,-109.9124,90.61,24,1666373466,71,3.0
53,Kosa,RU,59.9445,54.9977,28.51,59,1666373547,84,9.19
54,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,1666373547,88,5.99
55,Touros,BR,-5.1989,-35.4608,83.37,70,1666373548,58,17.92
56,Saldanha,ZA,-33.0117,17.9442,62.65,28,1666373548,75,29.42
57,Iqaluit,CA,63.7506,-68.5145,37.13,75,1666373549,86,20.71
58,Nome,US,64.5011,-165.4064,33.87,75,1666373549,93,5.75
59,Caravelas,BR,-17.7125,-39.2481,80.82,84,1666373549,63,11.92
60,Leningradskiy,RU,69.3833,178.4167,26.38,100,1666373550,98,2.33
61,Yerbogachën,RU,61.2767,108.0108,28.18,91,1666373550,92,3.62
62,Airai,TL,-8.9266,125.4092,62.31,60,1666373551,89,0.69
63,São Félix do Xingu,BR,-6.6447,-51.995,98.29,77,1666373551,29,1.72
64,Port Alfred,ZA,-33.5906,26.891,68.18,99,1666373551,92,1.99
65,Kaitangata,NZ,-46.2817,169.8464,36.03,5,1666373552,89,5.28
66,Lata,PT,40.1629,-8.3327,65.91,87,1666373552,89,5.14
67,Ahipara,NZ,-35.1667,173.1667,51.46,8,1666373552,92,6.4
68,Ambon City,ID,-3.6954,128.1814,75.34,64,1666373553,94,6.91
69,Otofuke,JP,42.9917,143.2003,48.09,6,1666373553,87,0.65
70,Tchibanga,GA,-2.85,11.0333,73.27,92,1666373553,95,2.91
71,Bambous Virieux,MU,-20.3428,57.7575,73.65,40,1666373554,83,14.97
72,Port Elizabeth,ZA,-33.918,25.5701,64.69,100,1666373554,97,9.22
73,Albany,US,42.6001,-73.9662,58.78,18,1666373534,36,1.01
74,Ca Mau,VN,9.1769,105.15,76.15,88,1666373280,94,5.19
75,Krasnoarmiys'k,UA,48.282,37.1758,40.84,10,1666373417,67,5.48
76,Carnarvon,AU,-24.8667,113.6333,66.63,0,1666373554,80,16.4
77,Faanui,PF,-16.4833,-151.75,79.3,10,1666373555,75,17.85
78,Verkhnyaya Inta,RU,65.9811,60.3094,32.2,100,1666373555,98,14.56
79,Dandong,CN,40.1292,124.3947,53.01,80,1666373556,95,3.44
80,Saraland,US,30.8207,-88.0706,77.81,0,1666373556,45,3.04
81,Nikolskoye,RU,59.7035,30.7861,42.69,100,1666373556,93,3.15
82,Thompson,CA,55.7435,-97.8558,39.36,75,1666373431,56,14.97
83,Nouakchott,MR,18.0858,-15.9785,93.13,19,1666373557,59,7.96
84,Farah,AF,32.5,62.5,64.17,57,1666373557,14,2.04
85,Baiyin,CN,36.5583,104.2081,47.77,69,1666373557,38,1.14
86,Port Moresby,PG,-9.4431,147.1797,76.42,40,1666373558,94,3.44
87,Chui,UY,-33.6971,-53.4616,65.34,100,1666373558,78,10.11
88,Xinzhou,CN,38.4092,112.7333,52.03,43,1666373558,28,4.27
89,Ballina,AU,-28.8667,153.5667,66.02,100,1666373560,99,13.29
90,Severo-Kuril'sk,RU,50.6789,156.125,40.21,59,1666373560,78,12.97
91,Alice Springs,AU,-23.7,133.8833,62.15,0,1666373371,59,0.0
92,Watsa,CD,3.0372,29.5355,65.86,99,1666373560,98,1.74
93,São Filipe,CV,14.8961,-24.4956,78.87,57,1666373561,77,5.28
94,Talas,TR,38.6908,35.5538,47.07,75,1666373561,66,4.61
95,Takoradze,GH,4.8845,-1.7554,78.8,99,1666373561,82,10.45
96,Jamundí,CO,3.2607,-76.535,83.28,96,1666373562,66,1.43
97,Lagoa,PT,39.05,-27.9833,65.64,99,1666373562,79,29.26
98,Naze,JP,28.3667,129.4833,76.12,98,1666373562,85,15.64
99,Dikson,RU,73.5069,80.5464,31.78,100,1666373563,93,10.07
100,Arlit,NE,18.7369,7.3853,85.5,2,1666373563,13,18.9
101,Makkah al Mukarramah,SA,21.4267,39.8261,83.86,0,1666373526,53,3.69
102,Narsaq,GL,60.9167,-46.05,34.02,100,1666373563,98,9.13
103,Beringovskiy,RU,63.05,179.3167,32.29,99,1666373564,96,0.85
104,Russell,US,32.3502,-85.1999,70.38,0,1666373440,26,3.44
105,Punta Arenas,CL,-53.15,-70.9167,53.71,0,1666373298,38,34.52
106,Butaritari,KI,3.0707,172.7902,80.64,63,1666373564,75,13.09
107,Tvøroyri,FO,61.5556,-6.8111,47.93,97,1666373565,82,26.8
108,Constitución,CL,-35.3333,-72.4167,61.54,5,1666373540,55,16.64
109,Sarakhs,IR,36.5449,61.1577,77.14,0,1666373565,23,0.0
110,Murray Bridge,AU,-35.1167,139.2667,58.33,13,1666373483,91,5.86
111,Puebloviejo,CO,10.9938,-74.2844,89.78,40,1666373565,70,9.22
112,Talnakh,RU,69.4865,88.3972,34.21,100,1666373566,97,15.59
113,Mtwara,TZ,-10.2667,40.1833,74.1,9,1666373566,79,9.48
114,Riyadh,SA,24.6877,46.7219,82.54,0,1666373318,12,9.01
115,Atambua,ID,-9.1061,124.8925,76.86,59,1666373566,84,1.36
116,Berlevåg,NO,70.8578,29.0864,32.0,0,1666373567,69,24.16
117,Sørland,NO,67.667,12.6934,42.66,100,1666373567,69,15.1
118,Nha Trang,VN,12.25,109.1833,75.2,60,1666373286,92,5.39
119,Mount Gambier,AU,-37.8333,140.7667,55.31,100,1666373527,100,6.91
120,Husavik,IS,66.0449,-17.3389,30.4,73,1666373567,81,7.02
121,Hervey Bay,AU,-25.2986,152.8535,69.03,100,1666373568,97,8.01
122,Hilo,US,19.7297,-155.09,81.28,0,1666373568,75,8.05
123,Henties Bay,NA,-22.116,14.2845,58.5,13,1666373569,91,5.64
124,Cap Malheureux,MU,-19.9842,57.6142,73.47,15,1666373569,74,7.0
125,Te Anau,NZ,-45.4167,167.7167,34.79,34,1666373569,93,0.56
126,Upernavik,GL,72.7868,-56.1549,18.3,99,1666373570,72,6.58
127,Barcelona,ES,41.3888,2.159,77.05,20,1666373514,69,14.97
128,Rome,US,43.2128,-75.4557,61.83,0,1666373570,29,12.66
129,Vaini,TO,-21.2,-175.2,71.76,100,1666373571,94,10.36
130,Itaúna,BR,-20.0753,-44.5764,82.15,98,1666373571,43,6.2
131,College,US,64.8569,-147.8028,34.59,100,1666373571,94,9.22
132,Qasigiannguit,GL,68.8193,-51.1922,41.25,100,1666373572,99,4.12
133,Jega,NG,12.2175,4.3792,86.58,54,1666373572,26,6.64
134,Nizhny Novgorod,RU,56.3287,44.002,36.91,0,1666373505,81,6.71
135,Bethel,US,41.3712,-73.414,63.55,0,1666373573,38,3.44
136,Taitung City,TW,22.7583,121.1444,78.48,96,1666373573,82,6.71
137,Armenia,AM,40.0,45.0,42.39,100,1666373453,89,2.91
138,Bobo-Dioulasso,BF,11.1771,-4.2979,90.05,20,1666373573,40,5.75
139,Saint-Philippe,RE,-21.3585,55.7679,71.19,47,1666373574,85,10.89
140,Grand Gaube,MU,-20.0064,57.6608,73.8,11,1666373574,74,7.0
141,Campos dos Goytacazes,BR,-21.75,-41.3,82.87,73,1666373454,62,21.03
142,Skellefteå,SE,64.7507,20.9528,42.01,100,1666373574,100,2.3
143,Jinchang,CN,38.4953,102.1739,46.92,87,1666373575,35,5.3
144,Los Llanos de Aridane,ES,28.6585,-17.9182,71.35,75,1666373575,87,6.91
145,East London,ZA,-33.0153,27.9116,69.93,83,1666373576,87,6.76
146,Lorengau,PG,-2.0226,147.2712,80.6,46,1666373576,77,5.7
147,Najrān,SA,17.4924,44.1277,75.85,0,1666373435,19,4.72
148,Norman Wells,CA,65.282,-126.8329,23.04,75,1666373576,100,0.0
149,Mar del Plata,AR,-38.0023,-57.5575,55.42,100,1666373577,85,20.71
150,Srandakan,ID,-7.9386,110.2506,75.54,100,1666373577,92,2.84
151,Oancea,RO,45.9167,28.1,45.63,1,1666373577,45,8.21
152,Provideniya,RU,64.3833,-173.3,33.84,92,1666373578,95,8.5
153,Castro,BR,-24.7911,-50.0119,65.19,99,1666373578,92,10.27
154,Purpe,RU,64.4803,76.6897,30.88,84,1666373578,83,17.65
155,Osa,RU,57.2829,55.4567,29.55,29,1666373580,78,5.55
156,Morro Bay,US,35.3658,-120.8499,66.15,18,1666373580,1,3.0
157,Kruisfontein,ZA,-34.0033,24.7314,60.89,100,1666373580,80,9.15
158,Hailar,CN,49.2,119.7,28.81,60,1666373581,83,5.1
159,Mahébourg,MU,-20.4081,57.7,73.69,40,1666373581,83,14.97
160,Teguise,ES,29.0605,-13.564,75.42,0,1666373581,69,14.97
161,Shenjiamen,CN,29.9576,122.298,69.44,16,1666373582,86,3.58
162,Isil'kul',RU,54.9109,71.2728,44.98,96,1666373582,77,5.59
163,Ostrovnoy,RU,68.0531,39.5131,31.96,100,1666373582,74,10.18
164,Sano,JP,36.3167,139.5833,61.75,99,1666373583,54,1.52
165,Finschhafen,PG,-6.6024,147.8681,78.78,98,1666373583,83,3.65
166,Palmer,US,42.1584,-72.3287,63.27,0,1666373584,32,1.99
167,Fortuna,US,40.5982,-124.1573,54.99,100,1666373584,85,3.44
168,Praia da Vitória,PT,38.7333,-27.0667,71.85,40,1666373584,60,20.56
169,Bredasdorp,ZA,-34.5322,20.0403,57.24,60,1666373585,74,5.37
170,Ixtapa,MX,20.7,-105.2,85.23,75,1666373585,70,5.01
171,Isangel,VU,-19.55,169.2667,73.22,92,1666373585,80,13.89
172,Moroni,KM,-11.7022,43.2551,75.06,58,1666373586,79,4.56
173,Vao,NC,-22.6667,167.4833,71.33,97,1666373586,62,20.94
174,Glubokiy,RU,48.5217,40.3258,39.79,39,1666373587,72,6.44
175,Sorong,ID,-0.8833,131.25,80.53,92,1666373587,81,6.22
176,Barrow,US,71.2906,-156.7887,26.62,100,1666373587,86,25.32
177,Roura,GF,4.7263,-52.3274,87.71,75,1666373588,66,8.05
178,Ceres,US,37.5949,-120.9577,70.12,0,1666373588,59,4.61
179,Geraldton,AU,-28.7667,114.6,54.01,16,1666373588,94,4.61
180,Havelock,US,34.8791,-76.9013,67.98,40,1666373589,54,9.22
181,Saint George,US,37.1041,-113.5841,67.78,0,1666373382,27,4.61
182,Laas,IT,46.6166,10.7002,52.36,100,1666373589,97,4.0
183,Sioux Lookout,CA,50.1001,-91.917,51.87,40,1666373589,66,9.22
184,Ewo,CG,-0.8725,14.8206,73.76,91,1666373590,84,2.46
185,Solnechnyy,RU,50.7214,136.6319,32.07,100,1666373590,63,4.23
186,Mackenzie,CA,55.2999,-123.1698,37.62,100,1666373433,70,6.91
187,Diofior,SN,14.1833,-16.6667,84.83,25,1666373591,64,12.84
188,Nogliki,RU,51.8333,143.1667,30.63,1,1666373591,70,11.32
189,Chapais,CA,49.7834,-74.8492,44.38,99,1666373572,67,14.94
190,Katobu,ID,-4.9408,122.5276,76.46,82,1666373592,91,2.75
191,Tomaszów Lubelski,PL,50.4477,23.4162,43.66,99,1666373592,58,8.7
192,Katsuura,JP,35.1333,140.3,68.92,67,1666373592,71,15.39
193,Skibbereen,IE,51.55,-9.2667,57.31,96,1666373592,92,25.26
194,Vardø,NO,70.3705,31.1107,30.18,0,1666373593,86,9.22
195,Broome,US,42.2506,-75.833,60.48,0,1666373593,35,9.22
196,Artyom,AZ,40.4723,50.333,57.34,100,1666373594,75,30.44
197,Haines Junction,CA,60.7522,-137.5108,26.55,100,1666373594,100,0.0
198,Tampakan,PH,6.4442,124.9264,75.4,100,1666373594,89,1.01
199,Cidreira,BR,-30.1811,-50.2056,70.57,37,1666373595,81,12.08
200,Botwood,CA,49.1499,-55.3482,54.9,100,1666373595,60,9.93
201,Labuhan,ID,-6.8844,112.2051,78.69,100,1666373595,86,7.83
202,Neiafu,TO,-18.65,-173.9833,72.28,75,1666373596,100,2.3
203,Deputatsky,RU,69.3,139.9,-5.91,44,1666373596,97,6.55
204,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,80.46,100,1666373596,72,8.03
205,Araripe,BR,-7.2125,-40.0461,91.6,72,1666373597,24,8.84
206,Gizo Government Station,SB,-8.103,156.8419,81.57,85,1666373597,78,5.12
207,Karpathos,GR,35.507,27.2132,66.16,20,1666373597,68,25.32
208,Faya,SA,18.3851,42.4509,64.51,2,1666373598,51,1.36
209,Quatre Cocos,MU,-20.2078,57.7625,73.51,27,1666373598,82,10.76
210,Heraclea,TR,37.5133,34.0467,53.94,72,1666373598,46,5.28
211,Yar-Sale,RU,66.8333,70.8333,29.84,88,1666373599,97,10.18
212,Cherskiy,RU,68.75,161.3,4.96,100,1666373599,94,7.81
213,Cañon City,US,38.441,-105.2424,73.56,0,1666373600,14,13.8
214,Gazli,UZ,40.1333,63.45,68.32,96,1666373600,17,11.54
215,Kuala Terengganu,MY,5.3302,103.1408,78.75,20,1666373600,94,2.3
216,Alamogordo,US,32.8995,-105.9603,74.39,0,1666373601,40,5.01
217,Cassilândia,BR,-19.1133,-51.7342,74.32,100,1666373601,82,12.33
218,New Norfolk,AU,-42.7826,147.0587,62.1,100,1666373601,90,1.16
219,Klaksvík,FO,62.2266,-6.589,45.52,100,1666373602,75,18.07
220,Panabá,MX,21.2833,-88.2667,79.05,49,1666373431,49,11.77
221,Tasiilaq,GL,65.6145,-37.6368,32.16,100,1666373602,98,4.92
222,Mil'kovo,RU,54.7167,158.6167,28.54,76,1666373603,73,3.83
223,Novaya Igirma,RU,57.1334,103.9112,29.91,100,1666373603,88,3.83
224,Torbay,CA,47.6666,-52.7314,57.27,75,1666373438,72,12.66
225,Chokurdakh,RU,70.6333,147.9167,11.3,100,1666373604,94,12.3
226,Edson,CA,53.5835,-116.4356,39.34,75,1666373406,65,10.36
227,Shimoda,JP,34.6667,138.95,64.11,95,1666373604,73,13.0
228,Panvel,IN,18.9833,73.1,82.47,34,1666373604,78,4.79
229,Buraidah,SA,26.326,43.975,82.85,0,1666373437,13,5.32
230,Iquitos,PE,-3.7481,-73.2472,87.84,75,1666373605,70,5.75
231,Chilca,PE,-12.5211,-76.7372,63.18,96,1666373605,76,8.05
232,Nabire,ID,-3.3667,135.4833,75.47,100,1666373605,91,1.32
233,Abu Samrah,SY,35.3029,37.1841,68.65,27,1666373606,61,6.38
234,Pisco,PE,-13.7,-76.2167,64.45,40,1666373606,77,10.36
235,Fort Nelson,CA,58.8053,-122.7002,36.99,75,1666373607,56,5.75
236,Kahului,US,20.8947,-156.47,80.83,0,1666373595,68,5.75
237,Rive-de-Gier,FR,45.5307,4.6213,67.91,100,1666373607,87,5.39
238,Saint Paul Harbor,US,57.79,-152.4072,42.31,0,1666373607,61,8.05
239,Bay Roberts,CA,47.5999,-53.2648,58.33,77,1666373608,66,5.01
240,Zhigansk,RU,66.7697,123.3711,13.71,92,1666373608,98,4.74
241,Yuzhnyy,RU,53.2542,83.6936,50.38,0,1666373608,57,11.18
242,San Luis,AR,-33.295,-66.3356,80.8,2,1666373609,15,10.94
243,Biltine,TD,14.5333,20.9167,91.2,98,1666373609,20,4.32
244,Ajuchitlán,MX,20.7167,-100.0167,67.39,66,1666373609,31,3.6
245,Kilindoni,TZ,-7.9139,39.6668,76.6,43,1666373609,73,15.17
246,Navsari,IN,20.9524,72.9324,78.3,0,1666373610,61,7.38
247,Mahibadhoo,MV,3.7833,72.9667,81.97,100,1666373611,76,15.35
248,Gävle,SE,60.6745,17.1417,35.38,100,1666373611,84,1.01
249,San Cristobal,VE,7.7669,-72.225,77.18,64,1666373612,70,1.43
250,Tiksi,RU,71.6872,128.8694,7.2,48,1666373612,96,6.08
251,Swan Hill,AU,-35.3378,143.5544,60.91,83,1666373612,92,3.78
252,Vila Franca do Campo,PT,37.7167,-25.4333,68.41,70,1666373613,71,18.84
253,Ocós,GT,14.5094,-92.1933,84.38,68,1666373613,72,3.53
254,Delano,US,35.7688,-119.247,79.32,0,1666373613,35,0.0
255,Herat Province,AF,34.5,62.0,65.46,75,1666373614,16,7.16
256,Hambantota,LK,6.1241,81.1185,78.96,100,1666373525,78,7.87
257,Rio Grande,BR,-32.035,-52.0986,68.11,100,1666373614,92,17.31
258,Conceição da Barra,BR,-18.5933,-39.7322,80.89,89,1666373614,64,12.39
259,Coahuayana Viejo,MX,18.7333,-103.6833,82.69,100,1666373615,71,2.66
260,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.59,100,1666373616,91,6.78
261,Ovalle,CL,-30.5983,-71.2003,84.0,0,1666373616,23,10.87
262,Sakhnovshchyna,UA,49.1517,35.872,40.46,7,1666373616,68,4.76
263,Longyearbyen,SJ,78.2186,15.6401,22.84,20,1666373617,74,14.97
264,Sokna,NO,60.24,9.9235,39.13,100,1666373617,77,0.31
265,Santa Rosa,PH,14.3122,121.1114,82.38,70,1666373533,90,3.49
266,Necochea,AR,-38.5473,-58.7368,54.09,90,1666373617,63,20.02
267,Pevek,RU,69.7008,170.3133,23.68,100,1666373618,95,2.06
268,Malpe,IN,13.35,74.7167,78.1,99,1666373619,91,4.68
269,Lang Son,VN,21.8333,106.7333,66.52,96,1666373619,94,2.86
270,Tateyama,JP,34.9833,139.8667,70.11,82,1666373620,67,18.7
271,King City,US,36.2127,-121.126,86.92,2,1666373620,17,1.81
